2006,Actor -- Supporting Role,Eddie Murphy,Dreamgirls {'James 'Thunder' Early'},NO
2006,Actor -- Supporting Role,Mark Wahlberg,The Departed {'Dignam'},NO
2006,Actress -- Leading Role,Pen�lope Cruz,Volver {'Raimunda'},NO
2006,Actress -- Leading Role,Judi Dench,Notes on a Scandal {'Barbara Covett'},NO
2006,Actress -- Leading Role,Helen Mirren,The Queen {'The Queen'},YES
2006,Actress -- Leading Role,Meryl Streep,The Devil Wears Prada {'Miranda Priestly'},NO
2006,Actress -- Leading Role,Kate Winslet,Little Children {'Sarah Pierce'},NO
2006,Actress -- Supporting Role,Adriana Barraza,Babel {'Amelia'},NO
2006,Actress -- Supporting Role,Cate Blanchett,Notes on a Scandal {'Sheba Hart'},NO
2006,Actress -- Supporting Role,Abigail Breslin,Little Miss Sunshine {'Olive'},NO
2006,Actress -- Supporting Role,Jennifer Hudson,Dreamgirls {'Effie White'},YES
2006,Actress -- Supporting Role,Rinko Kikuchi,Babel {'Chieko'},NO
2005,Actor -- Leading Role,Philip Seymour Hoffman,Capote {'Truman Capote'},YES
2005,Actor -- Leading Role,Terrence Howard,Hustle & Flow {'DJay'},NO
2005,Actor -- Leading Role,Heath Ledger,Brokeback Mountain {'Ennis Del Mar'},NO
2005,Actor -- Leading Role,Joaquin Phoenix,Walk the Line {'John R. Cash'},NO
2005,Actor -- Leading Role,David Strathairn,"Good Night, and Good Luck. {'Edward R. Murrow'}",NO
2005,Actor -- Supporting Role,George Clooney,Syriana {'Bob Barnes'},YES
2005,Actor -- Supporting Role,Matt Dillon,Crash {'Officer Ryan'},NO
2005,Actor -- Supporting Role,Paul Giamatti,Cinderella Man {'Joe Gould'},NO
2005,Actor -- Supporting Role,Jake Gyllenhaal,Brokeback Mountain {'Jack Twist'},NO
2005,Actor -- Supporting Role,William Hurt,A History of Violence {'Richie Cusack'},NO
2005,Actress -- Leading Role,Judi Dench,Mrs. Henderson Presents {'Mrs. Laura Henderson'},NO
2005,Actress -- Leading Role,Felicity Huffman,Transamerica {'Bree'},NO
2005,Actress -- Leading Role,Keira Knightley,Pride & Prejudice {'Elizabeth Bennet'},NO
2005,Actress -- Leading Role,Charlize Theron,North Country {'Josey Aimes'},NO
2005,Actress -- Leading Role,Reese Witherspoon,Walk the Line {'June Carter'},YES
2005,Actress -- Supporting Role,Amy Adams,Junebug {'Ashley'},NO
2005,Actress -- Supporting Role,Catherine Keener,Capote {'Nelle Harper Lee'},NO
2005,Actress -- Supporting Role,Frances McDormand,North Country {'Glory'},NO
2005,Actress -- Supporting Role,Rachel Weisz,The Constant Gardener {'Tessa Quayle'},YES
2005,Actress -- Supporting Role,Michelle Williams,Brokeback Mountain {'Alma'},NO
2004,Actor -- Leading Role,Don Cheadle,Hotel Rwanda {'Paul Rusesabagina'},NO
2004,Actor -- Leading Role,Johnny Depp,Finding Neverland {'Sir James Matthew Barrie'},NO
2004,Actor -- Leading Role,Leonardo DiCaprio,The Aviator {'Howard Hughes'},NO
2004,Actor -- Leading Role,Clint Eastwood,Million Dollar Baby {'Frankie Dunn'},NO
2004,Actor -- Leading Role,Jamie Foxx,Ray {'Ray Charles'},YES
2004,Actor -- Supporting Role,Alan Alda,The Aviator {'Senator Ralph Owen Brewster'},NO
2004,Actor -- Supporting Role,Thomas Haden Church,Sideways {'Jack'},NO
2004,Actor -- Supporting Role,Jamie Foxx,Collateral {'Max'},NO
2004,Actor -- Supporting Role,Morgan Freeman,Million Dollar Baby {'Eddie Scrap-Iron Dupris'},YES
2004,Actor -- Supporting Role,Clive Owen,Closer {'Larry'},NO
2004,Actress -- Leading Role,Annette Bening,Being Julia {'Julia Lambert'},NO
2004,Actress -- Leading Role,Catalina Sandino Moreno,Maria Full of Grace {'Maria'},NO
2004,Actress -- Leading Role,Imelda Staunton,Vera Drake {'Vera'},NO
2004,Actress -- Leading Role,Hilary Swank,Million Dollar Baby {'Maggie Fitzgerald'},YES
2004,Actress -- Leading Role,Kate Winslet,Eternal Sunshine of the Spotless Mind {'Clementine Kruczynski'},NO
2004,Actress -- Supporting Role,Cate Blanchett,The Aviator {'Katharine Hepburn'},YES
2004,Actress -- Supporting Role,Laura Linney,Kinsey {'Clara McMillen'},NO
2004,Actress -- Supporting Role,Virginia Madsen,Sideways {'Maya'},NO
2004,Actress -- Supporting Role,Sophie Okonedo,Hotel Rwanda {'Tatiana Rusesabagina'},NO
2004,Actress -- Supporting Role,Natalie Portman,Closer {'Alice'},NO
2003,Actor -- Leading Role,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl {'Jack Sparrow'},NO
2003,Actor -- Leading Role,Ben Kingsley,House of Sand and Fog {'Behrani'},NO
2003,Actor -- Leading Role,Jude Law,Cold Mountain {'Inman'},NO
2003,Actor -- Leading Role,Bill Murray,Lost in Translation {'Bob Harris'},NO
2003,Actor -- Leading Role,Sean Penn,Mystic River {'Jimmy Markum'},YES
2003,Actor -- Supporting Role,Alec Baldwin,The Cooler {'Shelly Kaplow'},NO
2003,Actor -- Supporting Role,Benicio Del Toro,21 Grams {'Jack Jordan'},NO
2003,Actor -- Supporting Role,Djimon Hounsou,In America {'Mateo'},NO
2003,Actor -- Supporting Role,Tim Robbins,Mystic River {'Dave Boyle'},YES
2003,Actor -- Supporting Role,Ken Watanabe,The Last Samurai {'Katsumoto'},NO
2003,Actress -- Leading Role,Keisha Castle-Hughes,Whale Rider {'Paikea'},NO
2003,Actress -- Leading Role,Diane Keaton,Something's Gotta Give {'Erica Barry'},NO
2003,Actress -- Leading Role,Samantha Morton,In America {'Sarah'},NO
2003,Actress -- Leading Role,Charlize Theron,Monster {'Aileen Wuornos'},YES
2003,Actress -- Leading Role,Naomi Watts,21 Grams {'Cristina Peck'},NO
2003,Actress -- Supporting Role,Shohreh Aghdashloo,House of Sand and Fog {'Nadi'},NO
2003,Actress -- Supporting Role,Patricia Clarkson,Pieces of April {'Joy Burns'},NO
2003,Actress -- Supporting Role,Marcia Gay Harden,Mystic River {'Celeste Boyle'},NO
2003,Actress -- Supporting Role,Holly Hunter,Thirteen {'Melanie'},NO
2003,Actress -- Supporting Role,Ren�e Zellweger,Cold Mountain {'Ruby Thewes'},YES
2002,Actor -- Leading Role,Adrien Brody,The Pianist {'Wladyslaw Szpilman'},YES
2002,Actor -- Leading Role,Nicolas Cage,Adaptation {'Charlie Kaufman & Donald Kaufman'},NO
2002,Actor -- Leading Role,Michael Caine,The Quiet American {'Thomas Fowler'},NO
2002,Actor -- Leading Role,Daniel Day-Lewis,Gangs of New York {'Bill 'The Butcher' Cutting'},NO
2002,Actor -- Leading Role,Jack Nicholson,About Schmidt {'Warren Schmidt'},NO
2002,Actor -- Supporting Role,Chris Cooper,Adaptation {'John Laroche'},YES
2002,Actor -- Supporting Role,Ed Harris,The Hours {'Richard Brown'},NO
2002,Actor -- Supporting Role,Paul Newman,Road to Perdition {'John Rooney'},NO
2002,Actor -- Supporting Role,John C. Reilly,Chicago {'Amos Hart'},NO
2002,Actor -- Supporting Role,Christopher Walken,Catch Me If You Can {'Frank Abagnale'},NO
2002,Actress -- Leading Role,Salma Hayek,Frida {'Frida Kahlo'},NO
2002,Actress -- Leading Role,Nicole Kidman,The Hours {'Virginia Woolf'},YES
2002,Actress -- Leading Role,Diane Lane,Unfaithful {'Connie Sumner'},NO
2002,Actress -- Leading Role,Julianne Moore,Far from Heaven {'Cathy Whitaker'},NO
2002,Actress -- Leading Role,Ren�e Zellweger,Chicago {'Roxie Hart'},NO
2002,Actress -- Supporting Role,Kathy Bates,About Schmidt {'Roberta Hertzel'},NO
2002,Actress -- Supporting Role,Julianne Moore,The Hours {'Laura Brown'},NO
2002,Actress -- Supporting Role,Queen Latifah,Chicago {'Matron Mama Morton'},NO
2002,Actress -- Supporting Role,Meryl Streep,Adaptation {'Susan Orlean'},NO
2002,Actress -- Supporting Role,Catherine Zeta-Jones,Chicago {'Velma Kelly'},YES
2001,Actor -- Leading Role,Russell Crowe,A Beautiful Mind {'John Nash'},NO
2001,Actor -- Leading Role,Sean Penn,I Am Sam {'Sam Dawson'},NO
2001,Actor -- Leading Role,Will Smith,Ali {'Muhammad Ali'},NO
2001,Actor -- Leading Role,Denzel Washington,Training Day {'Alonzo'},YES
2001,Actor -- Leading Role,Tom Wilkinson,In the Bedroom {'Matt Fowler'},NO
2001,Actor -- Supporting Role,Jim Broadbent,Iris {'John Bayley'},YES
2001,Actor -- Supporting Role,Ethan Hawke,Training Day {'Jake'},NO
2001,Actor -- Supporting Role,Ben Kingsley,Sexy Beast {'Don Logan'},NO
2001,Actor -- Supporting Role,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring {'Gandalf'},NO
2001,Actor -- Supporting Role,Jon Voight,Ali {'Howard Cosell'},NO
2001,Actress -- Leading Role,Halle Berry,Monster's Ball {'Leticia Musgrove'},YES
2001,Actress -- Leading Role,Judi Dench,Iris {'Iris Murdoch'},NO
2001,Actress -- Leading Role,Nicole Kidman,Moulin Rouge {'Satine'},NO
2001,Actress -- Leading Role,Sissy Spacek,In the Bedroom {'Ruth Fowler'},NO
2001,Actress -- Leading Role,Ren�e Zellweger,Bridget Jones's Diary {'Bridget Jones'},NO
2001,Actress -- Supporting Role,Jennifer Connelly,A Beautiful Mind {'Alicia Nash'},YES
2001,Actress -- Supporting Role,Helen Mirren,Gosford Park {'Mrs. Wilson'},NO
2001,Actress -- Supporting Role,Maggie Smith,"Gosford Park {'Constance, Countess of Trentham'}",NO
2001,Actress -- Supporting Role,Marisa Tomei,In the Bedroom {'Natalie Strout'},NO
2001,Actress -- Supporting Role,Kate Winslet,Iris {'Young Iris Murdoch'},NO
2000,Actor -- Leading Role,Javier Bardem,Before Night Falls {'Reinaldo Arenas'},NO
2000,Actor -- Leading Role,Russell Crowe,Gladiator {'Maximus Decimus Meridius'},YES
2000,Actor -- Leading Role,Tom Hanks,Cast Away {'Chuck Noland'},NO
2000,Actor -- Leading Role,Ed Harris,Pollock {'Jackson Pollock'},NO
2000,Actor -- Leading Role,Geoffrey Rush,Quills {'The Marquis de Sade'},NO
2000,Actor -- Supporting Role,Jeff Bridges,The Contender {'President Jackson Evans'},NO
2000,Actor -- Supporting Role,Willem Dafoe,Shadow of the Vampire {'Max Schreck'},NO
2000,Actor -- Supporting Role,Benicio Del Toro,Traffic {'Javier Rodriguez'},YES
2000,Actor -- Supporting Role,Albert Finney,Erin Brockovich {'Ed Masry'},NO
2000,Actor -- Supporting Role,Joaquin Phoenix,Gladiator {'Commodus'},NO
2000,Actress -- Leading Role,Joan Allen,The Contender {'Laine Hanson'},NO
2000,Actress -- Leading Role,Juliette Binoche,Chocolat {'Vianne Rocher'},NO
2000,Actress -- Leading Role,Ellen Burstyn,Requiem for a Dream {'Sara Goldfarb'},NO
2000,Actress -- Leading Role,Laura Linney,You Can Count on Me {'Samantha 'Sammy' Prescott'},NO
2000,Actress -- Leading Role,Julia Roberts,Erin Brockovich {'Erin Brockovich'},YES
2000,Actress -- Supporting Role,Judi Dench,Chocolat {'Armande Voizin'},NO
2000,Actress -- Supporting Role,Marcia Gay Harden,Pollock {'Lee Krasner'},YES
2000,Actress -- Supporting Role,Kate Hudson,Almost Famous {'Penny Lane'},NO
2000,Actress -- Supporting Role,Frances McDormand,Almost Famous {'Elaine Miller'},NO
2000,Actress -- Supporting Role,Julie Walters,Billy Elliot {'Mrs. Wilkinson'},NO
1999,Actor -- Leading Role,Russell Crowe,The Insider {'Jeffrey Wigand'},NO
1999,Actor -- Leading Role,Richard Farnsworth,The Straight Story {'Alvin Straight'},NO
1999,Actor -- Leading Role,Sean Penn,Sweet and Lowdown {'Emmet Ray'},NO
1999,Actor -- Leading Role,Kevin Spacey,American Beauty {'Lester Burnham'},YES
1999,Actor -- Leading Role,Denzel Washington,The Hurricane {'Rubin 'Hurricane' Carter'},NO
1999,Actor -- Supporting Role,Michael Caine,The Cider House Rules {'Dr. Wilbur Larch'},YES
1999,Actor -- Supporting Role,Tom Cruise,Magnolia {'Frank T.J. Mackey'},NO
1999,Actor -- Supporting Role,Michael Clarke Duncan,The Green Mile {'John Coffey'},NO
1999,Actor -- Supporting Role,Jude Law,The Talented Mr. Ripley {'Dickie Greenleaf'},NO
1999,Actor -- Supporting Role,Haley Joel Osment,The Sixth Sense {'Cole Sear'},NO
1999,Actress -- Leading Role,Annette Bening,American Beauty {'Carolyn Burnham'},NO
1999,Actress -- Leading Role,Janet McTeer,Tumbleweeds {'Mary Jo Walker'},NO
1999,Actress -- Leading Role,Julianne Moore,The End of the Affair {'Sarah Miles'},NO
1999,Actress -- Leading Role,Meryl Streep,Music of the Heart {'Roberta Guaspari'},NO
1999,Actress -- Leading Role,Hilary Swank,Boys Don't Cry {'Brandon Teena/Teena Brandon'},YES
1999,Actress -- Supporting Role,Toni Collette,The Sixth Sense {'Lynn Sear'},NO
1999,Actress -- Supporting Role,Angelina Jolie,"Girl, Interrupted {'Lisa Rowe'}",YES
1999,Actress -- Supporting Role,Catherine Keener,Being John Malkovich {'Maxine'},NO
1999,Actress -- Supporting Role,Samantha Morton,Sweet and Lowdown {'Hattie'},NO
1999,Actress -- Supporting Role,Chlo� Sevigny,Boys Don't Cry {'Lana Tisdel'},NO
1998,Actor -- Leading Role,Roberto Benigni,Life Is Beautiful {'Guido'},YES
